event,manifold_id,poly_condition_id,manifold_yes,poly_yes,total,arb_gap,status
CLARITY Act signed into law in 2026?,9cN6yR8nCq,0x9cb23d04b2ded06147482076688b69b487a8d982c63ebdda2ab3678cf27cf390,0.6162,0.645,1.2612,-0.2612,OVER_ROUND
Will Taylor Swift re-release her debut album in 2026?,8sgOE5LhQ8,0x986578c2655979e0a8414ce04793c6e8226c7a368c25d1379cd300259cba1c09,0.8041,0.525,1.3291,-0.3291,OVER_ROUND
Will JD Vance win the 2028 US Presidential Election?,wpdomi6nif,0x7ad403c3508f8e3912940fd1a913f227591145ca0614074208e0b962d5fcc422,0.2037,0.1885,0.3922,0.6078,ARB_OPPORTUNITY
Will the Oklahoma City Thunder win the 2026 NBA Finals?,UnZRnsSlSt,0x22e7b5e35423e76842dd3a5e1a21d13793811080d5e7b2896d0c001bd5e97d54,0.62,0.615,1.235,-0.235,OVER_ROUND
Will the Oklahoma City Thunder win 2026 NBA Finals,RPcqcIcASQ,0x22e7b5e35423e76842dd3a5e1a21d13793811080d5e7b2896d0c001bd5e97d54,0.62,0.615,1.235,-0.235,OVER_ROUND
Will the montreal canadiens win the stanley cup in 2026?,U9EPOO9htt,0x52847ca1413b76a5570b97c0c432e38dbe61b0140f9d45e912604591b08f6fca,0.15,0.142,0.292,0.708,ARB_OPPORTUNITY
Will Apple release a new product line before 2027? [Polymarket],Rq0zZ6P56P,0x0a84cdeb03a25ae441697191edbcc31ad6803c3f4d48af2e0429952336c04fc1,0.29,0.275,0.565,0.435,ARB_OPPORTUNITY
Will Gavin Newsom be the Democratic party nominee for president in 2028?,vrDkEvmgqw1VcmU4OgYF,0x3d08aa0566b54cebc5b5a7a7e04484e0cebb14f17bee93c4797334ab3f8edcf2,0.2471,0.0485,0.2956,0.7044,ARB_OPPORTUNITY
Will the Democratic Party candidate win the 2026 Senate race in Maine?,L6Lll6upng,0x66bbf6d55e0296278858b3147689f3df9259374f158f9f028b608baa322a639c,0.7913,0.755,1.5463,-0.5463,OVER_ROUND
Will the Democrats win the 2026 Texas Senate Election?,SyhgEZC68s,0x34918035a590555ba1fb1d6a019d766ab6e557d63e7f3140b63b4550eee7f417,0.4903,0.445,0.9353,0.0647,ARB_OPPORTUNITY
Will Kamala Harris be the Democratic Nominee for President in 2028?,5gdp5t71w3,0x207d8be2f11fc1946765a3ed48d54cc02d64e74afe2ba4a3d7169e6c3816b2a0,0.0833,0.0075,0.0908,0.9092,ARB_OPPORTUNITY
Will Kamala Harris be the Democratic party nominee for president in 2028?,VKKwQNia4XthhWtmu6mF,0x207d8be2f11fc1946765a3ed48d54cc02d64e74afe2ba4a3d7169e6c3816b2a0,0.0833,0.0075,0.0908,0.9092,ARB_OPPORTUNITY
Pete Buttigieg will be the Democratic nominee for President in 2028.,KQvXU0QcFt9pEDcfwkMj,0x7d8d0a4d85c3de82cbca24cbdad67003bf1155a7df0669926a3ff1357c43ba4e,0.0595,0.0505,0.11,0.89,ARB_OPPORTUNITY
Will Wolves finish in last place in the 2025-26 English Premier League?,syCZyASZEu,0x338e9d7c4c73cb4c028038d194211c37ca077566b63c42e6756bd1441b586bff,0.58,0.709,1.289,-0.289,OVER_ROUND
Will China invade Taiwan before 2029?,gn2Ncc6ht5,0x7b49b9bacb5f435bc10f3b100ff59e2fdd346f7f92a9001881bc9825a0af0f11,0.2676,0.505,0.7726,0.2274,ARB_OPPORTUNITY
Will Xi Jingping visit US before 2027?,OcSuStph6L,0xd7e906eaec2c7f66697447785aa1d4fdaa82f536ca533a2bc0d3535b04e832ec,0.8669,0.875,1.7419,-0.7419,OVER_ROUND
Will Jannik Sinner win Roland Garros 2026?,cd8Cdq8R0S,0xe5a8f34117c2e467a0a1b3f3735c7b3ce5b696c55f40b8b4fa9013de57fd86e5,0.7134,0.73,1.4434,-0.4434,OVER_ROUND
Will the U.S. confirm that aliens exist before 2027?,SzSuIPsR60,0x747dc809fb79e1b05be09c42d6179459a58de2ef3e40f02484a4e1260f741f75,0.0971,0.145,0.2421,0.7579,ARB_OPPORTUNITY
Will Marco Rubio win the 2028 Presidential election?,gB7slCzEZxhhYXE4lVkc,0x2053d8515f1b8cbeea4ccdb56e60e89c2617e43a8660d95166b8e71d27865277,0.1319,0.1255,0.2574,0.7426,ARB_OPPORTUNITY
Will Jordan Bardella be candidate to the 2027 french presidential election?,61xHNMQhq97kg4yfhVTs,0x1166388a24a3f2a9bb0a45956bdb205c70f0ecafb8539e277a57adf022e306be,0.76,0.225,0.985,0.015,EFFICIENT
Trump will die before 2027,AR0C5UCcSI,0xe430a005036a377169cab5ec0a2541aa0fc30b98ac0e0b29b005a75da3264666,0.05,0.06,0.11,0.89,ARB_OPPORTUNITY
OpenAI IPO before 2027?,NII0slqg2N,0x7844ad013088564a11d5d4d3b1766c57ad936a55247f0ae1efe28180d7285af3,0.75,0.76,1.51,-0.51,OVER_ROUND
Will Cursor be acquired before the end of 2026?,06p23e9wzm,0x8c245b393de03e7e166113b31db74108cce54b386dbc6e4524d813b47db91c66,0.83,0.885,1.715,-0.715,OVER_ROUND
Will a Democrat win the 2028 Presidential Election?,iQhvjJCZS67hBlxCP5uM,0xb106a3c9d1c59ed8117493dae6459a3ff79369a8f7cddaf62f4a05828b89195e,0.5885,0.605,1.1935,-0.1935,OVER_ROUND
Will Mamdani freeze NYC rents before 2027?,SqAUQzlp0u,0x921330240e4d92f8535d54bcb34b31750fc235761f97b064d92e54a48c2f9dca,0.31,0.28,0.59,0.41,ARB_OPPORTUNITY
Will Donald Trump Die before 2027,zdcOzLZ5qR,0x836ddf4f19b2ea425a7b038249d07f67e68411e1d0736b1b27cd8d1e7c3b7be8,0.052,0.51,0.562,0.438,ARB_OPPORTUNITY
Milei out as President of Argentina before 2027? [Polymarket],hcP0RyPENE,0xa0a4bd25cdbdb09d7d90d7fa1dab25d7cefcb0048cd9a78afbbf868b66c85815,0.08,0.0835,0.1635,0.8365,ARB_OPPORTUNITY
Will Trump acquire Greenland before 2027?,Cyzq6NcOzP,0xd595eb9b81885ff018738300c79047e3ec89e87294424f57a29a7fa9162bf116,0.0611,0.068,0.1291,0.8709,ARB_OPPORTUNITY
US acquires part of Greenland in 2026?,dOtAqyLE22,0x890fc3ba40458db0b67560691aa1597344c2a0560d18e80f586a4b35f510b4ce,0.0349,0.14,0.1749,0.8251,ARB_OPPORTUNITY
Will Democrats win the 2026 New Hampshire Governor election? (Kalshi),pZpEqPAq5U,0x803f919bd0148b6450c264b920fc2bc9a7e8f15b0ae9fe52ff34ab10217df084,0.3197,0.05,0.3697,0.6303,ARB_OPPORTUNITY
Will J.D. Vance win the 2028 Presidential Election of the United States?,hsqsez3afy,0x7ad403c3508f8e3912940fd1a913f227591145ca0614074208e0b962d5fcc422,0.2036,0.1885,0.3921,0.6079,ARB_OPPORTUNITY
Will Lula win the 2026 Brazilian presidential election?,StMF5HKndU9WHMR1lcWX,0x70f1a7d2cd490b640676d5e31470bcbe16fef40087de1af8b6f6e44e299b5784,0.46,0.0015,0.4615,0.5385,ARB_OPPORTUNITY
Will Trump wins the Nobel Peace Prize in 2026? [High Liquidity],hERQAyOtAZ,0x962e5b226a77266ab429029ee04665e8fcfeb10b91af593786ceab871d2e945f,0.04,0.085,0.125,0.875,ARB_OPPORTUNITY
Will the Fed cut rates by 25 bps at the June 2026 FOMC meeting?,PI9Cd8EnZh,0xdde06286a7b9464d344f410ab0b3d2ebc6469904e72c27fd982f65fdbf78768d,0.014,0.0095,0.0235,0.9765,ARB_OPPORTUNITY
ECB rate hike in 2026?,65AQ5nPNsI,0x26e6aa82c5fa62e9a146521aa5bfd7b5f4c5b47b92e66507defe992bd09a173f,0.8495,0.93,1.7795,-0.7795,OVER_ROUND
Will Dan Sullivan win re-election to Alaska's Senate seat in 2026?,ULun8EOAAn,0x741bb46008b72234857c5118c8365ab3c2f69dbf28b30b59de04f173b8a778de,0.36,0.405,0.765,0.235,ARB_OPPORTUNITY
OpenAI IPO before 2028?,RPNylZcpZg,0x7844ad013088564a11d5d4d3b1766c57ad936a55247f0ae1efe28180d7285af3,0.8876,0.76,1.6476,-0.6476,OVER_ROUND
Fed rate hike in 2026?,sOL0ALQACq,0x80b3af88cb991980e8da1ce86b9794a0957f96ec98c29319dd7ba65e9744d82b,0.4475,0.365,0.8125,0.1875,ARB_OPPORTUNITY
Will Cursor be acquired before the end of 2027?,u9p83595i5,0x8c245b393de03e7e166113b31db74108cce54b386dbc6e4524d813b47db91c66,0.88,0.885,1.765,-0.765,OVER_ROUND
Will Los Angeles Dodgers win the 2026 World Series?,L0Z26cRAUt,0x749d8eccbc0a99447e71fc5e40a0096842774bef4d5c8838b8adb39af068b3cb,0.27,0.255,0.525,0.475,ARB_OPPORTUNITY
Will Tom Steyer win the 2026 California gubernatorial election?,OCqczcAg9n,0x8d62f20324e9e7f1a3c663ab6aac9a2f6e7adb96c6a69ac2cea7e08a71a7f2ef,0.2687,0.232,0.5007,0.4993,ARB_OPPORTUNITY
Will Anthropic be acquired before the end of 2030?,lEgU5EsAP0,0x2f2564e2ebcd2e1b2936ab6d27d20a425e3f058fc83a6b5645e2886f1aeffa00,0.177,0.065,0.242,0.758,ARB_OPPORTUNITY
Will Claude 5 be released before June 1?,ShClI2gn5Q,0x562d8e6be61af9176d3ed95c775b56202e5e668d7dd703be7c875926f56efdbd,0.0247,0.115,0.1397,0.8603,ARB_OPPORTUNITY
Will the May 2026 U.S. unemployment rate be at least 4.5%?,hOngsUcSd5,0xf7cb64502151bde17648b90f53abc3e5338b4193d14a636e225dffcb245b5c16,0.1483,0.305,0.4533,0.5467,ARB_OPPORTUNITY
Will Luiz Inácio Lula da Silva win the 2026 Brazilian presidential election?,qUIpIulZcs,0xdf8e2dc5860027decbe6164555c3c1c9645c3bd33e16b9dc57ca87125047d4a8,0.47,0.455,0.925,0.075,ARB_OPPORTUNITY
Will England win the 2026 FIFA World Cup?,QHFQmCmz8HplpN2QQnl2,0x375409bc5eeeff961e82b479caeccc20f33d15738e5bce1186d628aa3d9dfb1f,0.1241,0.1125,0.2366,0.7634,ARB_OPPORTUNITY
Will Lionel Messi play in the 2026 World Cup?,lgxNmHNmrYvowjnSyQAM,0x160dbfb768f10eedc79d21400546975778e2d0f1ae7f53777a1edabd5baecf81,0.9494,0.96,1.9094,-0.9094,OVER_ROUND
Will Gretchen Whitmer be the Democratic party nominee for president in 2028?,J9PK4PxE66U3N73Rjfyi,0xa8ff8840eaeb505591531380d76bd63506b8eb44080321d6bd02a23a58cdf277,0.0285,0.0665,0.095,0.905,ARB_OPPORTUNITY
Will a democrat win the 2028 presidential election?,hUxUVH64uO3c9mmEdiRP,0xb106a3c9d1c59ed8117493dae6459a3ff79369a8f7cddaf62f4a05828b89195e,0.5883,0.605,1.1933,-0.1933,OVER_ROUND
Will China invade Taiwan by 2035?,ogSVOzusZx9FaQMFFDx8,0xa0b56d7e621c7cbcfa47fe1a9c24f3409e189180fd6bda55b7a8113129839afc,0.3627,0.0145,0.3772,0.6228,ARB_OPPORTUNITY
Nothing Ever Happens 2026,Egh5858OU0,0xa090ae1a88ca96bcae7523a65a96425ed53616709be75cb69a0df144f718931e,0.4745,0.735,1.2095,-0.2095,OVER_ROUND
Will a Republican win the Florida governorship in 2026?,uODgxBgIoHZWqFqHGPbe,0xcceae66d81c60f90c9679ab531b865bd7e9f95cc54f7b0634a24095519b10d65,0.905,0.8,1.705,-0.705,OVER_ROUND
Will OpenAI release a social network in 2026?,2UqCSAcI65,0xe97152561097edb4ab240c4658342d32ed8750dc18ed2eabc27ee06ce6ae5c8b,0.2978,0.265,0.5628,0.4372,ARB_OPPORTUNITY
Will Marine Le Pen win the 2027 French Presidential Election?,ZOpjhyLi9if4TBD4LHd4,0x8126317d621047fb13d508a2651eecc8d38305904671822a62309c5aabd353aa,0.0744,0.055,0.1294,0.8706,ARB_OPPORTUNITY
will portugal win the fifa world cup 2026,9PRhPCPIdl,0x4f3421fb2daf5cca7430ed8d8132463963081572d75434393a1808fdb8829fe8,0.0869,0.0875,0.1744,0.8256,ARB_OPPORTUNITY
Will Kristi Noem win the South Dakota Republican primary for Senate in 2026?,tUS2S8q9Ph,0x7e5dee1786c347880059915bb00df5b567e5f04e6947aeac5590e50055ebf74c,0.0133,0.004,0.0173,0.9827,ARB_OPPORTUNITY
Will Julia Letlow win the Louisiana Republican primary for senate?,zUQI0C5y9t,0x9c4c7199fbf5ff25547c254ed3dddb63e93840f566c2bf5bc1680cc4dfa41b6b,0.931,0.925,1.856,-0.856,OVER_ROUND
Will China invade Taiwan before 2028?,S8qN0npUtR,0x7b49b9bacb5f435bc10f3b100ff59e2fdd346f7f92a9001881bc9825a0af0f11,0.2,0.505,0.705,0.295,ARB_OPPORTUNITY
Will France win the 2026 FIFA World Cup?,XOJ8Tfrg8s2iqPFwauO8,0x9b6fef249040fd17e9c107955b37ac2c3e923509b6b0ff01cc463a331ddeb894,0.17,0.1775,0.3475,0.6525,ARB_OPPORTUNITY
Will Argentina win the 2026 FIFA World Cup?,QBF6oIt8FdUqw9vKIESb,0x0c4cd2055d6ea89354ffddc55d6dbcef9355748112ea952fc925f3db6a5c457f,0.0898,0.0825,0.1723,0.8277,ARB_OPPORTUNITY
Will François Ruffin be candidate to the 2027 french presidential election?,pds2VHt8o2ZkpYZLeqLp,0x4c799a8378d60f34f055cf5c61fc3f6f1a6e7abe5d5384ef37961c506eab867c,0.43,0.0065,0.4365,0.5635,ARB_OPPORTUNITY
Will 2026 be the hottest year on record?,PZnRZhLUgt,0xe67f4d31f0eba1b009b49d7a7739b2a5f53a2d7d979a0902b465a510492c33bb,0.35,0.27,0.62,0.38,ARB_OPPORTUNITY
Will the US confirm that aliens exist before 2027?,lEzIAQz2pL,0x747dc809fb79e1b05be09c42d6179459a58de2ef3e40f02484a4e1260f741f75,0.09,0.145,0.235,0.765,ARB_OPPORTUNITY
Kylie Jenner and Timothée Chalamet engagement announced in 2026?,OtLOud0IS2,0x02669fc2a99383d7b3cd667db3143c0aa34e20347e78d7f992f4e669f71821b4,0.3494,0.345,0.6944,0.3056,ARB_OPPORTUNITY
Will Mamdani freeze NYC rents in 2026?,EUgO0pL0Zn,0x921330240e4d92f8535d54bcb34b31750fc235761f97b064d92e54a48c2f9dca,0.6627,0.28,0.9427,0.0573,ARB_OPPORTUNITY
"Will Bitcoin exceed $100,000 before December 31, 2026?",CO0N90hQdd,0xdaa4866bae18be58c5a79d2aeeffd035ec78f1bb49dbd88f72993997778a990f,0.44,0.365,0.805,0.195,ARB_OPPORTUNITY
Will the Iranian regime fall by June 30?,NEPnZ9yOCg,0x9352c559e9648ab4cab236087b64ca85c5b7123a4c7d9d7d4efde4a39c18056f,0.0357,0.0235,0.0592,0.9408,ARB_OPPORTUNITY
Will Dominique de Villepin be a candidate in the 2027 French presidential election?,SdnttPghly,0x20fd4cf096367edbd429168764db975b582249a7a3818684d051f445a3efaed1,0.7471,0.045,0.7921,0.2079,ARB_OPPORTUNITY
Will Donald Trump be the Republican nominee for president in 2028?,goDrWQbnfGbraXT4kVhB,0x4a9d58d4da874e26708f5bdb014eb07a06aeebb927068d169d43831595386557,0.0241,0.0275,0.0516,0.9484,ARB_OPPORTUNITY
Democrats win 2028 US Presidential Election?,5dfk308wjr,0xb106a3c9d1c59ed8117493dae6459a3ff79369a8f7cddaf62f4a05828b89195e,0.5879,0.605,1.1929,-0.1929,OVER_ROUND
will france win the world cup,EqygCAySqP,0x9b6fef249040fd17e9c107955b37ac2c3e923509b6b0ff01cc463a331ddeb894,0.17,0.1775,0.3475,0.6525,ARB_OPPORTUNITY
Will France win the 2026 FIFA World Cup?,jSfjEF0CcRzIOKcfnQtB,0x9b6fef249040fd17e9c107955b37ac2c3e923509b6b0ff01cc463a331ddeb894,0.17,0.1775,0.3475,0.6525,ARB_OPPORTUNITY
[Polymarket] Clavicular sentenced to prison?,A905EOnln8,0x9c9ec7845f2102afe45b0987351d9fc146e38ed523b55323c82bda4439451597,0.18,0.17,0.35,0.65,ARB_OPPORTUNITY
Will the Democratic Party candidate win the 2026 Senate race in North Carolina?,AgZPINnud0,0x129dbcb7d39ff8df5f0d7685a2db6400b5db37d3963914486fbb7fd2bc96a923,0.8354,0.845,1.6804,-0.6804,OVER_ROUND
Will Anthropic IPO before 2030?,TAKw1fp2ZWNiXghjXHqs,0x6522024c060166830e53a48b0db1cab9296601a8539ab005124db5e4bf50a303,0.8622,0.765,1.6272,-0.6272,OVER_ROUND
Will Jesus Christ return before GTA VI? [actually],95sU9dOdQC,0x32b09f6390252b37d674501527e709016d55581b2c1e544bd4b8167f5f732f4c,0.0167,0.485,0.5017,0.4983,ARB_OPPORTUNITY
Will Trump pardon Ghislaine Maxwell?,ZpQRs0Uq2O,0xef145ca5ba752b022f71b4d1f7abeb6c311cd537c0d1e64f3682ca90b2412dbf,0.1215,0.115,0.2365,0.7635,ARB_OPPORTUNITY
Will Norway Win The 2026 FIFA World Cup?,AzqNn6pt90,0x7b52405ad0e0d31bfe970940b67d77f24ecedeab8a2361c11148c02a006e325c,0.022,0.0245,0.0465,0.9535,ARB_OPPORTUNITY
Will Argentina win the World Cup again?,dnyQtU0QCL,0x0c4cd2055d6ea89354ffddc55d6dbcef9355748112ea952fc925f3db6a5c457f,0.1,0.0825,0.1825,0.8175,ARB_OPPORTUNITY
Will Toni Atkins be elected governor of California in the 2026 election?,dHNJbguw3iMBwjU0Fa62,0x394b2be88763473da1df0943c934cfdc06cd33dea1c883cb178bfc56eb3a5c52,0.0172,0.0015,0.0187,0.9813,ARB_OPPORTUNITY
Will GTA 6 be released before GPT6?,02R0Sld5SzOZLHUAR8ng,0x0ea8005efbc460378340a2f28a6d97b0d1d9d9d7fba4d16f529b8a415dca77a2,0.63,0.655,1.285,-0.285,OVER_ROUND
Will Xi Jinping visit the US in 2027?,YsvDQ9QiLW3sIQ6LmzjO,0xd7e906eaec2c7f66697447785aa1d4fdaa82f536ca533a2bc0d3535b04e832ec,0.3121,0.875,1.1871,-0.1871,OVER_ROUND
Anthropic flips OpenAI before 2027?,gUROER0UPc,0x6522024c060166830e53a48b0db1cab9296601a8539ab005124db5e4bf50a303,0.8937,0.765,1.6587,-0.6587,OVER_ROUND
Will Zohran Mamdani freeze NYC rents before 2027?,68CZONC9AQ,0x921330240e4d92f8535d54bcb34b31750fc235761f97b064d92e54a48c2f9dca,0.3126,0.28,0.5926,0.4074,ARB_OPPORTUNITY
Will Russia invade a new country by the end of 2030?,hFPCWK6F9Ec6OdCtFXkJ,0x495e6b49e7397bb4e6f8ce69e246ccb33b744678bd9bf88cbecbd3a113b05423,0.4272,0.0165,0.4437,0.5563,ARB_OPPORTUNITY
Will Sharice Davids be the Democratic nominee for US Senate in Kansas?,hLt82LA8dc,0xde07228f2e6db44b37afae1059d2dd13aca52c0803bcc2b67d874a5b39d85ee1,0.03,0.025,0.055,0.945,ARB_OPPORTUNITY
Will Stripe acquire PayPal in 2026?,ZEZLP0Ig8N,0x74681cc13dc54fa347507d7ab57b66ea8c0e8c4ff9fb5a589583239c774f65aa,0.0955,0.063,0.1585,0.8415,ARB_OPPORTUNITY
Will there be a new Half-Life game announced before 2027?,9Oqz0NI2lp,0x8af1519f0b6704eaa52ac0890275b011fbca31729bf93fd956899a2c7ea410c0,0.5815,0.345,0.9265,0.0735,ARB_OPPORTUNITY
Alexandre de Moraes out as Brazil Supreme Court Justice in 2026?,QQpAZI0S9h,0xae515ea2b1b95486007cff8aa4afbd5f677e2760dd8752c1068d9cc55afb6d58,0.1499,0.12,0.2699,0.7301,ARB_OPPORTUNITY
Will Marine Le Pen win the 2027 French Presidential Election,07Y0K0ibLQ2Q3i6QAgBE,0x8126317d621047fb13d508a2651eecc8d38305904671822a62309c5aabd353aa,0.0711,0.055,0.1261,0.8739,ARB_OPPORTUNITY
Will GPT6 release before GTA6?,1y80gk7t9k,0x0ea8005efbc460378340a2f28a6d97b0d1d9d9d7fba4d16f529b8a415dca77a2,0.52,0.655,1.175,-0.175,OVER_ROUND
Ukraine joins EU before 2029?,89stIq8nPP,0x48c2b06383f2bfe38ce3c68fc7623586b11817d061f52ecada284c82eb717f39,0.0974,0.0545,0.1519,0.8481,ARB_OPPORTUNITY
Will the next secretary general of the United Nations be bald?,Atd5NR0CQ0,0xbf0518e89df4e7204d34ee2cb674b27af8c9c49f22dd360ccf5f1278a592fd3a,0.2586,0.0405,0.2991,0.7009,ARB_OPPORTUNITY
Will Liv Golf shut down in 2026?,gs9zc8CZ5z,0xcba5ef31b7a995320fa753f24eac3b9f8cce95dbd93c48fb4d03cb5135abca61,0.78,0.664,1.444,-0.444,OVER_ROUND
Will Jesus Christ return before 2027,I9quycncs8,0x0b4cc3b739e1dfe5d73274740e7308b6fb389c5af040c3a174923d928d134bee,0.0163,0.021,0.0373,0.9627,ARB_OPPORTUNITY
Israel x Turkey military clash before 2027?,qSR6cZh028,0xe34a08b2a8d0f9e5033dc1bc1ee153509e414196c3e8044d5e99b64b974eeea6,0.1514,0.145,0.2964,0.7036,ARB_OPPORTUNITY
Will Jean-Luc Mélenchon be a candidate in the 2027 French presidential election?,N8AsQAA6II,0x174ea87d011bfd0b230efc45e0b4d0756d38af91f0ffbab70013a582603c2be8,0.8628,0.095,0.9578,0.0422,ARB_OPPORTUNITY
Will Netenyahu be Pardoned (by June 2026),S6UhZOE50C,0xc8f7591181f4059ffbdcc4c85b1e9e76f029bef0eb6cc46a80bd5617b947de74,0.1649,0.07,0.2349,0.7651,ARB_OPPORTUNITY
Will Jair Bolsonaro be a candidate for the 2026 Brazilian presidential election?,BuHyXmzMGCPKstWwqOyK,0x63d8f3a34c90bd5342dda8acf62b6a898dfa52f86475efaf180b66493ef6af80,0.0442,0.0055,0.0497,0.9503,ARB_OPPORTUNITY
OpenAI IPO before 2029?,U5d5lNQLqR,0x7844ad013088564a11d5d4d3b1766c57ad936a55247f0ae1efe28180d7285af3,0.926,0.76,1.686,-0.686,OVER_ROUND
Will Tom Holland and Zendaya get married before 2035?,vvB7Ky5BUtkgI3VSMBSK,0xc589adfd317b954b8fd645dec08a41eb3ffa08147a42b113cd8e1df7ac68d674,0.9207,0.6935,1.6142,-0.6142,OVER_ROUND
Will Jean-Luc Mélenchon be candidate to the french presidential election in 2027,WzoQ44nRnaK1NqjYkIi3,0x174ea87d011bfd0b230efc45e0b4d0756d38af91f0ffbab70013a582603c2be8,0.859,0.095,0.954,0.046,ARB_OPPORTUNITY
⚽ Will Erling Haaland ever win Ballon d'Or?,tRI269nZ9E,0xc89266786402aaabe78111eb91c6764d86857bbc4427c82b91d60a5ef69a70d0,0.3772,0.0115,0.3887,0.6113,ARB_OPPORTUNITY
Will China invade Taiwan before 2027,U9qutUgyEL,0x7b49b9bacb5f435bc10f3b100ff59e2fdd346f7f92a9001881bc9825a0af0f11,0.0745,0.505,0.5795,0.4205,ARB_OPPORTUNITY
Rate hike in 2027?,OCSzyg8pdN,0x80b3af88cb991980e8da1ce86b9794a0957f96ec98c29319dd7ba65e9744d82b,0.2809,0.365,0.6459,0.3541,ARB_OPPORTUNITY
Will a Democrat win the 2028 US presidential election?,J7krYjbhuIYXWmLj1ZR9,0xb106a3c9d1c59ed8117493dae6459a3ff79369a8f7cddaf62f4a05828b89195e,0.5746,0.605,1.1796,-0.1796,OVER_ROUND
Will the next secretary general of the United Nations be a woman?,Scl2gnZZlC,0xe5c58b2694e0154b2705eb8db1725e23857d9728b5e37f1f55550612dd8c1f56,0.24,0.0015,0.2415,0.7585,ARB_OPPORTUNITY
Will OpenAI be acquired by 2040?,zdOnOGB2rYCFQGjDSCzv,0x8880cafadc71125e18f7c8c768475d589df7b7ca514270fc37656aa0a8dbfbd1,0.262,0.0765,0.3385,0.6615,ARB_OPPORTUNITY
Will OpenAI IPO by 2030?,0nIGd2HdusAb3id9SqzH,0x753e6031044632c083fede2715235b69bb2596e37d34f6f19d2b6635d2d4dd58,0.7963,0.0115,0.8078,0.1922,ARB_OPPORTUNITY
Apple to release a foldable iPhone before 2027?,9qxuM0rVznCVGHQtSSum,0x7209592f294c2b3a7230ea66a4483ecfe1a57ae79144e5e735654829e00cfc68,0.85,0.845,1.695,-0.695,OVER_ROUND
Will Republicans win the Senate in the 2028 elections?,SUTs1ggYgoddnFyALjjV,0xaed6455cc597aac64c06e4e85506a0efdbc1fe0d37824e77a29b09559214ada1,0.46,0.037,0.497,0.503,ARB_OPPORTUNITY
Will the Republicans win the 2026 Kansas Governor election?,n2A2ySggys,0xfb866625fdfccc5a58ab7f1b53d6c7b5ac214ee38fa38668312b4adc2ee2c1d0,0.7841,0.62,1.4041,-0.4041,OVER_ROUND
Will the Iranian regime fall by end of June?,tZuL0lO9Oz,0x9352c559e9648ab4cab236087b64ca85c5b7123a4c7d9d7d4efde4a39c18056f,0.0358,0.0235,0.0593,0.9407,ARB_OPPORTUNITY
No Supreme Court vacancy opens in 2026?,NRun6gdZzP,0x4bfb8b7fd515c8a4371ef6fc48289bae5b2736252aa6b710e6edaeeb26d96e3b,0.6884,0.33,1.0184,-0.0184,EFFICIENT
Will the 2028 US Presidential election happen normally?,E8ZQA2SyAh,0xb314f5dbf75919a34d4997e8b22e6793505e3377a690eaa11a75a2547e926bee,0.6651,0.0085,0.6736,0.3264,ARB_OPPORTUNITY
